X,Y,OBJECTID,BIKESHARE_ID,SITE_NAME,PROPERTY,DOCKS,SIGNEE,CREATED_DATE,LAST_EDIT_DATE,ON_STREET,INCOME,POPULATION,N_HOUSEHOLD,AGE,WHITE,BLACK,ASIAN,HISPANIC,OTHER_RACE,NATIVE,TIME,COUNT,AVERAGE_TIME
-82.99865354,39.96397966,12,18,3rd St and Gay St,Public,19, ,2013-12-03T00:00:00.000Z,,N,69805,1089,803,38.6,1001,46,16,10,13,0,139.9196528,10544,0.013270073
-82.99523822,39.94884505,19,10,3rd St and Sycamore St,Public,15, ,2013-12-03T00:00:00.000Z,,N,74136,1879,1172,31.7,1674,102,47,48,0,0,129.1340162,7473,0.017280077
-82.99539331,39.95774149,354,56,4th St and Rich St,Public ROW,15, ,2016-06-28T00:00:00.000Z,,N,59811,979,837,30.8,620,156,129,19,52,0,25.80450231,1674,0.015414876
-83.00032939,39.94661704,22,8,Bank St and Frankfort St,Public,11, ,2013-12-03T00:00:00.000Z,,Y,43817,1557,1457,47.3,1148,272,12,25,87,0,21.78991898,1110,0.019630558
-83.00313965,39.95593533,16,1,Bicentennial Park,Public,15, ,2013-12-03T00:00:00.000Z,,N,49545,1137,823,33.6,1059,14,18,26,12,2,48.79210648,2688,0.018151825
-82.96915784,39.95775158,31,32,Champion Ave and Main St,ROW,15, ,,,N,43817,1557,1457,47.3,1148,272,12,25,87,0,434.9683333,18322,0.023740221
-82.99076138,39.96919067,28,25,Cleveland Ave and Mt Vernon Ave,Public,15, ,2013-12-03T00:00:00.000Z,,N,38393,274,265,33.6,112,99,0,16,45,0,12.41825231,318,0.039051108
-82.99043015,39.96515471,27,26,Columbus College of Art and Design,Private,15,CCAD,2013-12-03T00:00:00.000Z,,N,69805,1089,803,38.6,1001,46,16,10,13,0,89.06850694,5271,0.016897839
-82.99816305,39.95759917,14,9,Columbus Commons - Rich St,Public,15, ,2013-12-03T00:00:00.000Z,,N,59811,979,837,30.8,620,156,129,19,52,0,36.73487269,2281,0.016104723
-82.98834259,39.96379746,26,27,Columbus Museum of Art,Public,11, ,2013-12-03T00:00:00.000Z,,N,21597,956,459,26.4,534,249,45,82,44,0,63.13141204,3831,0.016479095
-83.00224103,39.97113553,2,12,Convention Center,Public,19, ,2013-12-03T00:00:00.000Z,,N,43817,1557,1457,47.3,1148,272,12,25,87,0,118.5966088,7967,0.014885981
-83.00663577,39.96129098,29,19,COSI,Public,19, ,2013-12-03T00:00:00.000Z,,N,21597,956,459,26.4,534,249,45,82,44,0,38.82158565,1626,0.023875514
-82.99887721,39.95472511,15,5,Dorrian Commons - Mound St,Private,15,Franklin County Commissioners,2013-12-03T00:00:00.000Z,,N,69805,1089,803,38.6,1001,46,16,10,13,0,144.7850116,6722,0.021538978
-83.00023958,39.9501205,18,3,Front St and Beck St,Public,15, ,2013-12-03T00:00:00.000Z,,N,9808,826,500,41.3,254,526,0,0,44,0,164.0840509,7591,0.021615604
-83.00286624,39.96355738,11,2,Front St and Gay St (City Hall),Public,11, ,2013-12-03T00:00:00.000Z,,N,27338,1239,1053,28,682,319,72,148,16,0,55.96972222,3259,0.017173895
-82.99004393,39.95749676,17,15,Grant Ave and Main St,Public,15, ,2013-12-03T00:00:00.000Z,,N,74136,1879,1172,31.7,1674,102,47,48,0,0,85.68810185,5844,0.014662577
-83.00715534,39.99485501,38,37,High St and 11th Ave,Public ROW,15, ,,,N,43817,1557,1457,47.3,1148,272,12,25,87,0,51.81487269,3020,0.017157243
-83.00839922,40.00113991,37,38,High St and 17th Ave,ROW/OSU,15,OSU,,,N,17813,1182,454,21.9,991,23,90,23,30,23,76.65099537,3515,0.021806827
-83.00473945,39.98186094,6,24,High St and 2nd Ave,Public,11, ,2013-12-03T00:00:00.000Z,,N,14250,3366,27,19.9,2497,312,366,78,100,0,66.47826389,2135,0.03113736
-83.0054688,39.98521375,41,34,High St and 4th Ave,Public ROW,19, ,,,N,63438,1947,1152,31.2,1631,115,89,61,49,0,191.4554167,8310,0.02303916
-83.00114419,39.96200922,13,13,High St and Broad St,Public,19, ,2013-12-03T00:00:00.000Z,,N,73500,1773,1278,30.5,1512,88,80,52,12,26,52.4197338,2619,0.020015171
-83.00584548,39.99013848,36,36,High St and King Ave,Public ROW,15, ,,,N,43817,1557,1457,47.3,1148,272,12,25,87,0,154.1928125,9331,0.01652479
-83.00324249,39.97693379,4,23,High St and Lincoln St,Public,15, ,2013-12-03T00:00:00.000Z,,Y,25857,801,420,22.4,452,189,14,66,77,0,66.50888889,2365,0.028122152
-83.00152141,39.96587272,10,17,High St and Spring St,Public,15, ,2013-12-03T00:00:00.000Z,,N,69805,1089,803,38.6,1001,46,16,10,13,0,108.8264352,5507,0.019761474
-82.98945284,39.94459957,355,59,Jaeger St and Whittier St,Public ROW,15, ,2016-06-28T00:00:00.000Z,,N,27206,1120,617,31.8,769,275,12,19,40,0,191.1376157,10022,0.019071804
-82.99810814,39.98056367,32,33,Jeffrey Park - 1st Ave,ROW,15, ,,,N,85536,1206,734,34.6,1139,0,0,30,34,0,18.57542824,867,0.021424946
-83.00751861,39.97122484,3,21,Kilbourne St and Vine St,Public,11, ,2013-12-03T00:00:00.000Z,,Y,59811,979,837,30.8,620,156,129,19,52,0,45.04957176,2346,0.019202716
-83.02050666,40.00658247,353,60,Lane Ave at Olentangy Trail,Public ROW,15, ,2016-06-28T00:00:00.000Z,,N,10108,1214,472,20.6,815,26,330,33,8,0,50.83644676,1162,0.043749094
-82.99021364,39.96153736,25,28,Library - Main Branch,Private,15,Columbus Metropolitan Libraries,2013-12-03T00:00:00.000Z,,N,22788,228,164,28.3,156,47,11,6,5,0,48.39612269,3363,0.014390759
-82.97924605,39.95144272,30,14,Livingston Park,Public,15, ,2013-12-03T00:00:00.000Z,,N,20893,762,455,41.2,200,513,0,17,30,0,37.45157407,1784,0.020993035
-83.01139721,39.95742492,35,31,Lucas St and Town St,Public ROW,19, ,,,N,8897,763,531,31.7,350,365,0,11,28,4,34.06039352,2579,0.013206822
-83.02743578,39.98580965,352,62,Market District at 3rd Ave,Private,15,Nationwide Realty,2016-06-28T00:00:00.000Z,,N,41042,695,439,33.6,654,18,6,7,7,0,17.56872685,579,0.030343224
-83.01689084,39.9840538,39,41,Michigan Ave and 3rd Ave,Public ROW,15, ,,,N,74659,1363,784,30.2,1174,110,0,31,37,8,51.63896991,2301,0.022441969
-83.00401184,39.9691708,7,11,Nationwide Arena - Front St,Private,11,Nationwide Realty,2013-12-03T00:00:00.000Z,,N,69805,1089,803,38.6,1001,46,16,10,13,0,96.59528935,6165,0.015668336
-83.01158435,39.97741721,5,22,Neil Ave and Buttles Ave,Public,11, ,2013-12-03T00:00:00.000Z,,N,14440,4881,25,19.4,3812,546,218,117,142,0,65.30909722,2834,0.023044847
-83.01356548,39.99026413,33,40,Neil Ave and King Ave,Public ROW,15, ,,,Y,66523,2379,1324,30.2,2091,161,23,39,61,0,142.4298611,7739,0.018404169
-83.00857734,39.96805457,8,7,Neil Ave and Nationwide Blvd,Private,15,Nationwide Realty,2013-12-03T00:00:00.000Z,,N,7370,838,300,21.3,632,48,98,27,31,0,42.19707176,2737,0.015417271
-83.01454504,39.99542021,34,39,Neil Ave and W 11th Ave,Public ROW,15, ,,,N,69805,1089,803,38.6,1001,46,16,10,13,0,118.1034259,6821,0.017314679
-83.0035608,39.97220248,1,20,North Market,Public,11, ,2013-12-03T00:00:00.000Z,,N,59811,979,837,30.8,620,156,129,19,52,0,162.1767245,9031,0.017957781
-82.98137427,39.96322445,23,30,Parsons Ave and Oak St,Private,11,Kent Peters,2013-12-03T00:00:00.000Z,,N,24688,763,532,33.8,319,387,15,15,20,0,70.93655093,3596,0.019726516
-82.99502095,39.94203184,21,6,Schiller Park - Stewart Ave,Public,15, ,2013-12-03T00:00:00.000Z,,N,85536,1206,734,34.6,1139,0,0,30,34,0,133.6062269,6685,0.019985973
-83.00905344,39.94590288,20,4,Scioto Audubon Center,Public,15, ,2013-12-03T00:00:00.000Z,,N,49545,1137,823,33.6,1059,14,18,26,12,2,173.5549884,7207,0.024081447
-83.00159808,39.96854768,9,16,Sensenbrenner Park,Public,19, ,2013-12-03T00:00:00.000Z,,N,69805,1089,803,38.6,1001,46,16,10,13,0,119.1670949,6590,0.018083019
-82.98769247,39.93961534,351,61,Thurman Ave and Bruck St,Private,15,Barrett NB LLC/CASTO,2016-06-28T00:00:00.000Z,,N,72857,799,495,29.8,703,79,0,7,8,0,8.095821759,538,0.015047996
-82.98675815,39.96027976,24,29,Topiary Park - Town St,Public,11, ,2013-12-03T00:00:00.000Z,,Y,22411,873,824,32.2,620,160,32,30,25,3,74.5609838,6810,0.010948749
-82.99954919,39.98868972,40,35,Weinland Park - 6th Ave,Public ROW,19, ,,,Y,16438,634,597,28.3,225,296,0,69,36,6,23.69939815,1083,0.021883101
